CUT,TITLE,ARTIST,ALBUM,GROUP,ACTSTART,ACTDUR,DATE,
50141,ROCK BLOCK PSA,[CASEY]                                                     ,                                                            ,LONGPSA,3:13:10,0:01:00,1/1/2026,
50322,Stay Sharp (Marcia Gay Harden) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,3:14:10,0:00:32,1/1/2026,
50774,Rattling of the Heart,The Districts                                               ,Popular Manipulations                                       ,INDIE,3:14:43,0:04:08,1/1/2026,
50697,Go Ahead,Perfume Genius                                              ,No Shape                                                    ,INDIE,3:18:51,0:02:53,1/1/2026,
50728,Ghostride,Crumb                                                       ,Jinx                                                        ,INDIE,3:21:44,0:02:05,1/1/2026,
50366,DHR Adoption,                                                            ,                                                            ,SHORTPSA,3:23:49,0:00:30,1/1/2026,
50127,Army National Guard (Family 60),                                                            ,                                                            ,LONGPSA,3:24:19,0:01:00,1/1/2026,
50373,Rail Safety 30,Stamp                                                       ,ABA PEP                                                     ,SHORTPSA,3:25:19,0:00:30,1/1/2026,
50633,The Embers,Vagabon                                                     ,Infinite Worlds                                             ,INDIE,3:25:49,0:03:14,1/1/2026,
50834,Girlfriend Is Better,Talking Heads                                               ,Speaking in Tongues                                         ,INDIE,3:29:03,0:05:45,1/1/2026,
50530,Red Eyes,The War on Drugs                                            ,                                                            ,INDIE,3:34:48,0:04:58,1/1/2026,
50748,Carin at the Liquor Store,The National                                                ,Sleep Well Beast                                            ,INDIE,3:39:46,0:03:32,1/1/2026,
50121,Attention Men 60,                                                            ,                                                            ,LONGPSA,3:43:18,0:01:00,1/1/2026,
50328,Firearm Storage Safety 30,Gov PSA                                                     ,                                                            ,SHORTPSA,3:44:18,0:00:30,1/1/2026,
50845,Butterfly [Clean Edit],Uncle Meg                                                   ,                                                            ,INDIE,3:44:48,0:02:26,1/1/2026,
50704,Autumn Love,Death Cab for Cutie                                         ,Thank You for Today                                         ,INDIE,3:47:14,0:04:17,1/1/2026,
50692,Empire Ants,Gorillaz                                                    ,                                                            ,INDIE,3:51:31,0:04:34,1/1/2026,
50577,Better Distractions,Faye Webster                                                ,I Know I'm Funny haha [Explicit]                            ,INDIE,3:56:05,0:04:08,1/1/2026,
50003,Dale Gribbles ID,Rae!                                                        ,                                                            ,IDS,4:00:13,0:00:11,1/1/2026,
70866,From The Garden ft. Lil Uzi Vert,Isaiah Rashad                                               ,                                                            ,RAP,4:00:24,0:03:09,1/1/2026,
70838,Magic ft. Mustard,Vince Staples                                               ,                                                            ,RAP,4:03:33,0:03:45,1/1/2026,
70793,Programs (Radio Edit),Mac Miller                                                  ,Self care                                                   ,RAP,4:07:18,0:03:08,1/1/2026,
70894,I Deserve (feat. NOS),Smino                                                       ,I Deserve (feat. NOS) - Single                              ,RAP,4:10:26,0:02:41,1/1/2026,
50313,Don't Litter (P.A.L.S) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,4:13:07,0:00:30,1/1/2026,
50310,SSS Bikini 30,Gov PSA                                                     ,                                                            ,SHORTPSA,4:13:37,0:00:30,1/1/2026,
50145,LEAD Pizza Long PSA,RAE!                                                        ,                                                            ,LONGPSA,4:14:07,0:01:12,1/1/2026,
70907,Remorseless,billy woods                                                 ,Aethiopes                                                   ,RAP,4:15:19,0:02:50,1/1/2026,
70516,SoIncrediblepkg - Robert Glasper Version (with Kenny Beats),Denzel Curry                                                ,UNLOCKED 1.5                                                ,RAP,4:18:09,0:03:14,1/1/2026,
71125,PREACHER!,"John Michel, Anthony James, & colin!                        ",Egotrip                                                     ,RAP,4:21:23,0:03:12,1/1/2026,
71006,Highs & The Lows (feat. Joey Bada$$),Chance The Rapper                                           ,                                                            ,RAP,4:24:35,0:04:16,1/1/2026,
50309,Funky Chicken 30,Gov PSA                                                     ,                                                            ,SHORTPSA,4:28:51,0:00:30,1/1/2026,
50361,COVID Fall 23 Camilla,ADPH                                                        ,                                                            ,SHORTPSA,4:29:21,0:00:29,1/1/2026,
50113,LEAD Rolling Hills - First 56,Rae!                                                        ,                                                            ,LONGPSA,4:29:50,0:01:01,1/1/2026,
71119,WHARF TALK (feat. A$AP Rocky),"Tyler, the Creator                                          ",                                                            ,RAP,4:30:51,0:03:24,1/1/2026,
70794,Lovely How I Let My Mind Float (feat Biz Markie),De La Soul                                                  ,                                                            ,RAP,4:34:15,0:04:02,1/1/2026,
70751,Kingdom Hearts Key (ft. redviel),"JPEGMAFIA, Danny Brown, & redveil                           ",SCARING THE HOES                                            ,RAP,4:38:17,0:03:25,1/1/2026,
50314,Typical Day Before (Hurricane) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,4:41:42,0:00:30,1/1/2026,
50126,Just in Case opioid crisis,Gov PSA                                                     ,                                                            ,LONGPSA,4:42:12,0:01:00,1/1/2026,
50317,Compact Discourse 1 30s,                                                            ,                                                            ,SHORTPSA,4:43:12,0:00:30,1/1/2026,
70932,Got Flicked (The Rebirth),"Boldy James, Sterling Toles, & Louie P. Newton              ",Manger On McNichols                                         ,RAP,4:43:42,0:08:23,1/1/2026,
70569,Church - Liquor Store (feat. Noname),Saba                                                        ,Bucket List Project                                         ,RAP,4:52:05,0:03:33,1/1/2026,
71090,Act Up,Terry Presume                                               ,What Box? - EP                                              ,RAP,4:55:38,0:03:03,1/1/2026,
50036,Squidward Public Radio ID,Squidward Tenticles                                         ,                                                            ,IDS,4:58:41,0:00:10,1/1/2026,
71079,Oh Boy (feat. Juelz Santana),Cam'ron                                                     ,Come Home With Me                                           ,RAP,4:58:51,0:03:27,1/1/2026,
70842,Opposite Lanes,Lil Ugly Mane                                               ,Oblivion Access                                             ,RAP,5:02:18,0:03:54,1/1/2026,
70840,Break in the Action (with MF DOOM),CZARFACE                                                    ,Super What?                                                 ,RAP,5:06:12,0:02:29,1/1/2026,
70747,Everyday,A$AP Rocky                                                  ,                                                            ,RAP,5:08:41,0:04:17,1/1/2026,
47849,ADPH COVID Fall 23 Jeremy,                                                            ,                                                            ,SHORTPSA,5:12:58,0:00:30,1/1/2026,
50306,Sunscreen,FDA                                                         ,                                                            ,SHORTPSA,5:13:28,0:00:30,1/1/2026,
50103,High School Referee 60,                                                            ,                                                            ,LONGPSA,5:13:58,0:01:00,1/1/2026,
71133,had enough?,cld & visions                                               ,-single-                                                    ,RAP,5:14:58,0:02:02,1/1/2026,
70606,Wutd,Genesis Owusu                                               ,WUTD + Vultures - Single                                    ,RAP,5:17:00,0:02:35,1/1/2026,
70841,Fire In The Hole (Radio Edit),Earl Sweatshirt                                             ,                                                            ,RAP,5:19:35,0:02:36,1/1/2026,
71108,Work It,Missy Elliott                                               ,Under Construction                                          ,RAP,5:22:11,0:04:53,1/1/2026,
50351,ADPH All Kids,ADPH                                                        ,                                                            ,SHORTPSA,5:27:04,0:00:30,1/1/2026,
50390,All In One Tix Urban,AL Tourism Department                                       ,                                                            ,SHORTPSA,5:27:34,0:00:30,1/1/2026,
50105,Radon Testing (Gospel) 60,                                                            ,                                                            ,LONGPSA,5:28:05,0:01:00,1/1/2026,
70871,Count On Me (Radio Edit),Brockhampton                                                ,                                                            ,RAP,5:29:05,0:02:35,1/1/2026,
70760,A+ (feat. Denzel Curry),Kenny Mason                                                 ,Angelic Hoodrat: Supercut                                   ,RAP,5:31:40,0:02:47,1/1/2026,
70615,Bruuuh Remix,JID & Denzel Curry                                          ,-single-                                                    ,RAP,5:34:27,0:03:26,1/1/2026,
50338,Time Machine 30,                                                            ,                                                            ,SHORTPSA,5:37:53,0:00:30,1/1/2026,
50100,ANG Make A Difference 60,                                                            ,                                                            ,LONGPSA,5:38:23,0:01:00,1/1/2026,
50330,Texting & Driving (Driving Rhythm) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,5:39:23,0:00:30,1/1/2026,
70819,Man Of The Year,ScHoolboy Q                                                 ,                                                            ,RAP,5:39:53,0:03:35,1/1/2026,
70944,So They Say,Kenny Beats                                                 ,LOUIE                                                       ,RAP,5:43:28,0:01:25,1/1/2026,
70935,"Ghostface Killers (feat. Travis Scott, Offset & Metro Boomin",21 Savage                                                   ,Without Warning                                             ,RAP,5:44:53,0:04:29,1/1/2026,
70647,Apparently,J. Cole                                                     ,2014 Forest Hills Drive                                     ,RAP,5:49:22,0:04:52,1/1/2026,
50025,GRAVITY ID,[CASEY]                                                     ,                                                            ,IDS,5:54:14,0:00:09,1/1/2026,
70739,Love Hurts ft. Travis Scott,Playboi Carti                                               ,Die Lit                                                     ,RAP,5:54:23,0:03:00,1/1/2026,
70684,Rope (feat. SiR) & rosegold clean,Isaiah Rashad                                               ,                                                            ,RAP,5:57:23,0:04:44,1/1/2026,
70699,745,Vince Staples                                               ,Big Fish Theory                                             ,RAP,6:02:07,0:03:47,1/1/2026,
70538,Buttons,Mac Miller                                                  ,Buttons - Single                                            ,RAP,6:05:54,0:03:47,1/1/2026,
50300,811CBYD,811,                                                            ,SHORTPSA,6:09:41,0:00:30,1/1/2026,
50354,ADHR Elder Neglect,Adult Protective Services                                   ,                                                            ,SHORTPSA,6:10:11,0:00:30,1/1/2026,
50148,Lead President PSA Long,Rae!                                                        ,                                                            ,LONGPSA,6:10:41,0:01:11,1/1/2026,
70924,KLINK,Smino                                                       ,NOIR                                                        ,RAP,6:11:52,0:03:01,1/1/2026,
70514,Walkin,Denzel Curry                                                ,Melt My Eyez See Your Future                                ,RAP,6:14:53,0:04:40,1/1/2026,
70902,65th & Ingleside (Radio Edit),Chance The Rapper                                           ,                                                            ,RAP,6:19:33,0:04:29,1/1/2026,
71020,Vinyl Days (feat DJ Premier),Logic                                                       ,Vinyl Days                                                  ,RAP,6:24:02,0:04:43,1/1/2026,
50329,Texting & Driving (Two At Once)  30,Gov PSA                                                     ,                                                            ,SHORTPSA,6:28:45,0:00:30,1/1/2026,
50257,LAWN DOG SESSIONS PSA,[CASEY]                                                     ,                                                            ,SHORTPSA,6:29:15,0:00:26,1/1/2026,
50123,SKILS 60_1,                                                            ,                                                            ,LONGPSA,6:29:41,0:00:59,1/1/2026,
70790,Breakadawn,De La Soul                                                  ,Buhloone Mindstate                                          ,RAP,6:30:40,0:04:15,1/1/2026,
71080,21 Questions (feat. Nate Dogg),50 Cent                                                     ,Get Rich or Die Tryin' (Bonus Track Version)                ,RAP,6:34:55,0:03:43,1/1/2026,
71001,Stuck,Westside Boogie                                             ,MORE BLACK SUPERHEROS                                       ,RAP,6:38:38,0:03:36,1/1/2026,
50331,Feed the Pig (Overboard) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,6:42:14,0:00:30,1/1/2026,
50125,ASC Get Rich 60,                                                            ,                                                            ,LONGPSA,6:42:44,0:01:01,1/1/2026,
50395,JAZZ BLOCK PSA,[CASEY]                                                     ,                                                            ,SHORTPSA,6:43:45,0:00:32,1/1/2026,
70805,Night Job,Bas                                                         ,                                                            ,RAP,6:44:17,0:03:13,1/1/2026,
70555,Bonfire,Childish Gambino                                            ,                                                            ,RAP,6:47:30,0:03:11,1/1/2026,
71067,Creepin' (feat. 21 Savage & The Weeknd),Metro Boomin                                                ,                                                            ,RAP,6:50:41,0:03:41,1/1/2026,
70578,Off Set (feat. Young Thug),T.I.                                                        ,                                                            ,RAP,6:54:22,0:03:12,1/1/2026,
50023,Krab Borg SID,Eugene Krabs                                                ,                                                            ,IDS,6:57:34,0:00:20,1/1/2026,
76593,Almeda Clean (feat. Playboi Carti),Solange                                                     ,                                                            ,RANDB,6:57:54,0:03:56,1/1/2026,
76569,On & On (Clean),Erykah Badu                                                 ,Baduizm                                                     ,RANDB,7:01:50,0:03:46,1/1/2026,
76618,Between the Sheets,The Isley Brothers                                          ,Love Songs                                                  ,RANDB,7:05:36,0:05:35,1/1/2026,
76532,Provider,Frank Ocean                                                 ,                                                            ,RANDB,7:11:12,0:04:02,1/1/2026,
50372,Amy National Guard Family,                                                            ,                                                            ,SHORTPSA,7:15:14,0:00:30,1/1/2026,
50356,COVID Fall 23 Anthony,ADPH                                                        ,                                                            ,SHORTPSA,7:15:44,0:00:30,1/1/2026,
50124,ASC Natural Disaster 60,                                                            ,                                                            ,LONGPSA,7:16:14,0:01:00,1/1/2026,
76749,Keep On Trippin',Curtis Mayfield                                             ,Back to the World                                           ,RANDB,7:17:14,0:03:15,1/1/2026,
76538,What's Happening Brother,Marvin Gaye                                                 ,What's Going On                                             ,RANDB,7:20:29,0:02:43,1/1/2026,
76718,Last Dance,Montell Fish                                                ,JAMIE                                                       ,RANDB,7:23:12,0:03:09,1/1/2026,
76522,A Cappella,Daniel Caesar                                               ,Pilgrim's Paradise - EP                                     ,RANDB,7:26:22,0:01:27,1/1/2026,
50116,LEAD Definition - First 56,Rae!                                                        ,                                                            ,LONGPSA,7:27:49,0:00:45,1/1/2026,
50138,Coming Around,ALClean Fuels Coalition                                     ,                                                            ,LONGPSA,7:28:34,0:00:59,1/1/2026,
76703,Tired of Being Alone,Al Green                                                    ,Billboard Hot 100 Singles 1971                              ,RANDB,7:29:33,0:02:49,1/1/2026,
76830,La La La Love Me,Monophonics                                                 ,Sound of Sinning                                            ,RANDB,7:32:22,0:03:18,1/1/2026,
76697,I'm Coming OUt,Diana Ross                                                  ,The Motown Anthology (Disc 2)                               ,RANDB,7:35:40,0:03:55,1/1/2026,
76766,Keep On Loving You,Four Mints                                                  ,Gently Down Your Stream                                     ,RANDB,7:39:35,0:03:25,1/1/2026,
50115,CDC Tips2 Tiffany Radio 60 psa,                                                            ,                                                            ,LONGPSA,7:43:00,0:01:00,1/1/2026,
50365,ANG Make A Difference,Region 4                                                    ,                                                            ,SHORTPSA,7:44:00,0:00:30,1/1/2026,
50347,I Am A Witness_English_30,                                                            ,                                                            ,SHORTPSA,7:44:30,0:00:30,1/1/2026,
76649,Plastic 100°C,Sampha                                                      ,Process                                                     ,RANDB,7:45:00,0:05:15,1/1/2026,
76583,Real Games clean,Lucky Daye                                                  ,                                                            ,RANDB,7:50:15,0:05:28,1/1/2026,
76769,I'm Not a Gambler,The Chi-Lites                                               ,Half a Love (Bonus Tracks Edition)                          ,RANDB,7:55:43,0:03:54,1/1/2026,
50022,StrongBadSID,Strong Bad                                                  ,                                                            ,IDS,7:59:37,0:00:11,1/1/2026,
76777,Mother Beautiful,Sly & The Family Stone                                      ,Small Talk (Bonus Tracks Edition) [2007 Remaster]           ,RANDB,7:59:48,0:01:57,1/1/2026,
76509,SUMMER,BROCKHAMPTON                                                ,SATURATION II                                               ,RANDB,8:01:45,0:03:25,1/1/2026,
76710,Skin,Sade                                                        ,Soldier of Love                                             ,RANDB,8:05:10,0:04:10,1/1/2026,
76548,Some,Steve Lacy                                                  ,Some - Single                                               ,RANDB,8:09:20,0:01:51,1/1/2026,
50381,STD Testing,                                                            ,                                                            ,SHORTPSA,8:11:11,0:00:30,1/1/2026,
50311,Multiple Sclerosis 30,                                                            ,                                                            ,SHORTPSA,8:11:41,0:00:32,1/1/2026,
50110,Stay Sharp (Marcia Gay Harden) 60,Gov PSA                                                     ,                                                            ,LONGPSA,8:12:13,0:01:03,1/1/2026,
76693,Sweet Thing,Mary J. Blige                                               ,What's the 411?                                             ,RANDB,8:13:16,0:03:41,1/1/2026,
76770,"Just My Luck (7 Version)""",Tyrone Davis                                                ,Everything In Place (Bonus Track)                           ,RANDB,8:16:57,0:03:29,1/1/2026,
76850,Do You Love Her Now,Jai Paul                                                    ,Do You Love Her Now / He - Single                           ,RANDB,8:20:26,0:04:28,1/1/2026,
76560,Celebrate Clean,Anderson .Paak                                              ,Malibu                                                      ,RANDB,8:24:54,0:03:18,1/1/2026,
50109,St. Jude Finding Family Broadcast 60,                                                            ,                                                            ,LONGPSA,8:28:12,0:00:59,1/1/2026,
50106,ALDOT Winter Weather,                                                            ,                                                            ,LONGPSA,8:29:11,0:01:01,1/1/2026,
76524,Pretty Little Fears (feat. J. Cole),6LACK                                                       ,East Atlanta Love Letter                                    ,RANDB,8:30:12,0:03:59,1/1/2026,
76659,"Castaway (feat. Tyler, The Creator)",Yuna                                                        ,                                                            ,RANDB,8:34:11,0:04:29,1/1/2026,
76751,Sugah Daddy,D’Angelo and The Vanguard                                   ,Black Messiah                                               ,RANDB,8:38:40,0:05:03,1/1/2026,
76843,Weird Fishes,Lianne La Havas                                             ,Lianne La Havas                                             ,RANDB,8:43:43,0:05:54,1/1/2026,
50122,WEGL WEBSITE PSA,[CASEY]                                                     ,                                                            ,LONGPSA,8:49:37,0:01:00,1/1/2026,
50304,Opioid Abuse,NHHS                                                        ,                                                            ,SHORTPSA,8:50:37,0:00:31,1/1/2026,
50308,Cheering Section 30,                                                            ,                                                            ,SHORTPSA,8:51:08,0:00:30,1/1/2026,
76832,Be Thankful for What You've Got,Massive Attack                                              ,Blue Lines (2012 Mix / Master)                              ,RANDB,8:51:38,0:04:06,1/1/2026,
76600,Silkk Da Shocka (feat. Syd) clean,Isaiah Rashad                                               ,                                                            ,RANDB,8:55:44,0:02:24,1/1/2026,
50053,KHARI LEE ID,[CASEY]                                                     ,                                                            ,IDS,8:58:09,0:00:15,1/1/2026,
76688,Three Times a Lady,The Commodores                                              ,Anthology (Disc One)                                        ,RANDB,8:58:24,0:03:36,1/1/2026,
76810,Fly Me to the Moon (In Other Words),Bobby Womack                                                ,Fly Me to the Moon                                          ,RANDB,9:02:00,0:02:06,1/1/2026,
76865,Lava Lamp,Thundercat                                                  ,Drunk                                                       ,RANDB,9:04:06,0:02:58,1/1/2026,
76619,(At Your Best) You Are Love,The Isley Brothers                                          ,Love Songs                                                  ,RANDB,9:07:04,0:05:19,1/1/2026,
50323,Quit Smoking 30,                                                            ,                                                            ,SHORTPSA,9:12:23,0:00:30,1/1/2026,
50350,MPox,ADPH                                                        ,                                                            ,SHORTPSA,9:12:53,0:00:31,1/1/2026,
50129,Beat Drop/WWEGL Joint PSA,L Hurston                                                   ,                                                            ,LONGPSA,9:13:24,0:01:03,1/1/2026,
76525,Moon River,Frank Ocean                                                 ,                                                            ,RANDB,9:14:27,0:03:06,1/1/2026,
76853,Yamz,Masego f. Devin Morrison                                    ,-single-                                                    ,RANDB,9:17:33,0:03:09,1/1/2026,
76675,Loretta,Ginger Root                                                 ,City Slicker - EP                                           ,RANDB,9:20:42,0:03:10,1/1/2026,
